fecha,cliente_id,producto,categoria,cantidad,precio_unitario,total,vendedor,region,canal,metodo_pago
09-13-2023,,Refresco 2L,Bebidas,1,1.1,1.1,,,E-commerce,
05-25-2023,,Leche entera,Lácteos,4,1.2,4.8,Lili,,Tienda física,Efectivo
2023-08-19,,Bolsas plásticas,Descartables,6,0.1,0.6,,,Tienda física,Tarjeta débito
2023-09-09,CLI-8631,Carne molida,Carnes,1,5.8,5.8,Lili,,Tienda física,
10-12-2024,CLI-2442,Carne molida,Carnes,1,5.8,5.8,,,E-commerce,Tarjeta débito
17/06/2024,,Carne molida,Carnes,5,5.8,29.0,,,E-commerce,
2023-11-01,CLI-5628,Refresco 2L,Bebidas,3,1.1,3.3,Yonny,,Tienda física,Efectivo
2024-03-07,CLI-3039,Pasta de Tomate,Enlatados,2,0.75,1.5,,,Tienda física,Efectivo
2024-11-27,,Pasta de Tomate,Enlatados,3,0.75,2.25,Yonny,,Tienda física,Tarjeta débito
2023-06-23,,Bolsas plásticas,Descartables,2,0.1,0.2,Lili,,Teléfono,Tarjeta débito
2023-09-02,CLI-3480,Bolsas plásticas,Descartables,6,0.1,0.6,Lili,,Tienda física,Efectivo
07-06-2024,,Pasta de Tomate,Enlatados,1,0.75,0.75,,,Tienda física,Efectivo
2023-12-28,CLI-5964,Jamón de pavo,Embutidos,1,3.2,3.2,,,Tienda física,Tarjeta débito
19/08/2023,,Pollo entero,Carnes,2,4.5,9.0,,,Tienda física,Efectivo
2024-05-15,,Yogurt natural,Lácteos,1,0.9,0.9,Yonny,,E-commerce,Efectivo
2023-08-18,CLI-3751,Yogurt natural,Lácteos,2,0.9,1.8,Yonny,,Tienda física,Transferencia
2023/06/29,CLI-6520,Carne molida,Carnes,1,5.8,5.8,Lili,,Tienda física,Tarjeta débito
2024-04-27,CLI-3064,Leche entera,Lácteos,1,1.2,1.2,,,Tienda física,Tarjeta débito
2023-07-14,CLI-4612,Bolsas plásticas,Descartables,11,0.1,1.1,,,Tienda física,Efectivo
2023-11-17,CLI-8741,Leche entera,Lácteos,3,1.2,3.6,Yonny,,Tienda física,Tarjeta crédito
2023-10-14,CLI-6971,Pasta de Tomate,Enlatados,5,0.75,3.75,,,E-commerce,QR
2024-04-22,,Refresco 2L,Bebidas,6,1.1,6.6,Lili,,Tienda física,Transferencia
2024-08-24,CLI-7263,Pollo entero,Carnes,1,4.5,4.5,,,Tienda física,Efectivo
2024-09-12,CLI-2471,Bolsas plásticas,Descartables,8,0.1,0.8,,,E-commerce,
10-26-2024,CLI-3985,Papas precocinadas,Congelados,3,2.3,6.9,Yonny,,Tienda física,
2023-03-07,,Yogurt natural,Lácteos,2,0.9,1.8,,,E-commerce,Tarjeta crédito
