fecha,cliente_id,producto,categoria,cantidad,precio_unitario,total,vendedor,region,canal,metodo_pago
2023-07-01,CLI-4899,Leche entera,Lácteos,3,1.21,3.63,,Centro,E-commerce,Tarjeta crédito
2024-05-12,,Carne molida,Carnes,3,5.94,17.82,,Oeste,Teléfono,QR
2024-02-14,,Yogurt natural,Lácteos,2,0.9,1.8,,Este,E-commerce,QR
2024-04-27,CLI-7351,Refresco 2L,Bebidas,2,1.12,2.24,,Sur,Tienda física,Efectivo
2023-09-14,,Helado familiar,Lácteos,3,3.87,11.61,Laura Torres,Oeste,E-commerce,Tarjeta débito
2023-08-12,CLI-7640,Refresco 2L,Bebidas,4,1.09,4.36,,Este,Teléfono,Efectivo
2023-08-12,,Papas precocinadas,Congelados,2,2.33,4.66,,Norte,Tienda física,Tarjeta crédito
2024-08-30,CLI-6846,Pasta de Tomate,Enlatados,5,0.76,3.8,Laura Torres,Oeste,Tienda física,
2024-11-01,CLI-8235,Refresco 2L,Bebidas,2,1.13,2.26,,Norte,E-commerce,Tarjeta débito
2024-04-03,CLI-3666,Helado familiar,Lácteos,1,4.04,4.04,Carlos Ruiz,Este,Tienda física,Efectivo
12/03/2023,,Bolsas plásticas,Descartables,7,0.1,0.7,,Sur,E-commerce,QR
2024-06-18,CLI-5398,Yogurt natural,Lácteos,1,0.9,0.9,Ana López,Oeste,Tienda física,
2023-09-27,,Refresco 2L,Bebidas,3,1.1,3.3,María Gómez,Oeste,Tienda física,Transferencia
2023-12-29,CLI-7734,Bolsas plásticas,Descartables,10,0.1,1.0,Ana López,,Tienda física,Tarjeta débito
2024-08-30,CLI-3476,Pasta de Tomate,Enlatados,4,0.77,3.08,,Oeste,E-commerce,
2023-03-12,,Bolsas plásticas,Descartables,7,0.1,0.7,Ana López,Sur,Tienda física,Tarjeta débito
2023-07-29,CLI-5058,Carne molida,Carnes,1,5.73,5.73,Laura Torres,Sur,E-commerce,Tarjeta crédito
2024-07-28,CLI-5157,Bolsas plásticas,Descartables,11,0.1,1.1,Ana López,Norte,Teléfono,QR
2023-04-22,,Jamón de pavo,Embutidos,1,3.12,3.12,,Centro,Tienda física,Tarjeta crédito
2024-04-27,CLI-3664,Pollo entero,Carnes,1,4.41,4.41,Pedro Díaz,Oeste,E-commerce,Transferencia
2023-04-16,,Pasta de Tomate,Enlatados,3,0.74,2.22,María Gómez,Este,Teléfono,Transferencia
2024-03-26,,Papas precocinadas,Congelados,2,2.25,4.5,María Gómez,Sur,E-commerce,QR
2023-11-23,,Carne molida,Carnes,1,5.75,5.75,María Gómez,Este,Teléfono,QR
29/10/2023,CLI-3799,Yogurt natural,Lácteos,1,0.91,0.91,María Gómez,Oeste,Teléfono,Tarjeta débito
21/05/2024,,Refresco 2L,Bebidas,3,1.13,3.39,Ana López,Oeste,E-commerce,Efectivo
11-19-2023,CLI-5675,Yogurt natural,Lácteos,3,0.92,2.76,Laura Torres,Este,,Tarjeta crédito
17/06/2023,,Refresco 2L,Bebidas,3,1.06,3.18,Carlos Ruiz,Oeste,Tienda física,Transferencia
2024-10-22,CLI-8162,Pollo entero,Carnes,1,4.59,4.59,,Centro,Teléfono,Tarjeta crédito
06-04-2023,,Refresco 2L,Bebidas,3,1.11,3.33,,Centro,Teléfono,Transferencia
2024-10-30,CLI-3461,Pollo entero,Carnes,3,4.39,13.17,,Sur,Teléfono,Efectivo
2024-11-22,,Carne molida,Carnes,2,5.54,11.08,,,Tienda física,Tarjeta crédito
08/06/2024,CLI-4984,Bolsas plásticas,Descartables,8,0.1,0.8,Pedro Díaz,Centro,Teléfono,Tarjeta crédito
2024-06-05,CLI-9831,Leche entera,Lácteos,3,1.21,3.63,María Gómez,Oeste,Tienda física,Efectivo
2023-09-15,CLI-5131,Papas precocinadas,Congelados,4,2.3,9.2,,Norte,Teléfono,Tarjeta crédito
2024-03-01,CLI-8543,Helado familiar,Lácteos,1,3.88,3.88,Carlos Ruiz,Oeste,Teléfono,Efectivo
15/09/2024,CLI-2163,Refresco 2L,Bebidas,4,1.09,4.36,,Este,E-commerce,Tarjeta crédito
2024-04-06,,Jamón de pavo,Embutidos,1,3.16,3.16,Pedro Díaz,Sur,Teléfono,Efectivo
28/06/2024,CLI-8235,Leche entera,Lácteos,3,1.19,3.57,María Gómez,Centro,Tienda física,QR
2023-11-25,CLI-4529,Leche entera,Lácteos,2,1.23,2.46,,Este,Tienda física,Transferencia
2023/10/19,,Bolsas plásticas,Descartables,7,0.1,0.7,Laura Torres,Centro,,Transferencia
2024-02-24,,Refresco 2L,Bebidas,2,1.09,2.18,Pedro Díaz,Norte,Teléfono,Tarjeta crédito
2023-03-23,CLI-8090,Carne molida,Carnes,2,5.7,11.4,Laura Torres,Norte,E-commerce,Tarjeta crédito
2023-09-13,CLI-1575,Carne molida,Carnes,1,5.67,5.67,María Gómez,Oeste,,Efectivo
2023-08-02,CLI-1169,Pasta de Tomate,Enlatados,3,0.77,2.31,,Sur,Teléfono,Efectivo
2023-06-05,CLI-5517,Pollo entero,Carnes,2,4.48,8.96,Laura Torres,Sur,E-commerce,Tarjeta crédito
29/07/2024,CLI-1953,Pollo entero,Carnes,1,4.45,4.45,Laura Torres,Centro,Teléfono,Transferencia
2024-05-18,CLI-2445,Pollo entero,Carnes,2,4.41,8.82,Pedro Díaz,Norte,Teléfono,QR
02/10/2023,,Leche entera,Lácteos,3,1.21,3.63,Ana López,Este,Tienda física,Tarjeta crédito
2023-07-01,,Leche entera,Lácteos,1,1.18,1.18,,Oeste,Teléfono,Transferencia
2023-08-17,CLI-5042,Jamón de pavo,Embutidos,1,3.28,3.28,Ana López,Este,Tienda física,Transferencia
2024-05-01,CLI-2358,Carne molida,Carnes,1,5.85,5.85,María Gómez,Oeste,,Tarjeta crédito
2024-03-02,CLI-6534,Papas precocinadas,Congelados,1,2.29,2.29,Ana López,Oeste,E-commerce,Efectivo
2023-07-28,CLI-7187,Bolsas plásticas,Descartables,8,0.1,0.8,María Gómez,Centro,Tienda física,Tarjeta crédito
15/08/2024,CLI-1378,Leche entera,Lácteos,1,1.17,1.17,Pedro Díaz,Sur,E-commerce,Tarjeta débito
2023-09-03,CLI-3758,Bolsas plásticas,Descartables,5,0.1,0.5,Carlos Ruiz,Norte,E-commerce,Tarjeta débito
2024/04/17,CLI-7204,Leche entera,Lácteos,4,1.21,4.84,Ana López,Este,E-commerce,QR
09/09/2023,CLI-2442,Leche entera,Lácteos,2,1.23,2.46,Pedro Díaz,Centro,Teléfono,Tarjeta crédito
2023-10-18,CLI-5948,Leche entera,Lácteos,1,1.2,1.2,Laura Torres,Centro,Tienda física,Tarjeta débito
2024-11-14,,Bolsas plásticas,Descartables,8,0.1,0.8,Pedro Díaz,Este,Tienda física,Tarjeta débito
2023-10-06,CLI-9681,Carne molida,Carnes,1,5.78,5.78,,Norte,Tienda física,QR
2024-07-27,CLI-1504,Papas precocinadas,Congelados,1,2.29,2.29,,Este,E-commerce,Tarjeta crédito
23/10/2024,CLI-5119,Carne molida,Carnes,1,5.61,5.61,Carlos Ruiz,Norte,Tienda física,Tarjeta crédito
03/11/2024,CLI-3835,Jamón de pavo,Embutidos,1,3.23,3.23,María Gómez,Centro,E-commerce,Tarjeta crédito
07-17-2023,CLI-9897,Leche entera,Lácteos,2,1.19,2.38,Pedro Díaz,Centro,Tienda física,
2023-05-02,CLI-3026,Pollo entero,Carnes,1,4.55,4.55,,Oeste,E-commerce,Tarjeta crédito
02-03-2024,,Refresco 2L,Bebidas,6,1.11,6.66,Pedro Díaz,Oeste,E-commerce,Transferencia
2023-05-15,,Pollo entero,Carnes,1,4.49,4.49,,Este,E-commerce,QR
2023-06-30,CLI-3704,Pasta de Tomate,Enlatados,3,0.76,2.28,,Este,E-commerce,Tarjeta crédito
2023-12-06,CLI-7710,Pollo entero,Carnes,1,4.42,4.42,,Este,E-commerce,Tarjeta crédito
2023-10-08,CLI-5963,Refresco 2L,Bebidas,3,1.07,3.21,Laura Torres,Norte,Tienda física,Transferencia
2024-10-07,CLI-7384,Pollo entero,Carnes,2,4.42,8.84,Ana López,Sur,Tienda física,QR
2023/04/30,CLI-6563,Leche entera,Lácteos,3,1.16,3.48,,Norte,E-commerce,Efectivo
2023-03-12,CLI-5378,Papas precocinadas,Congelados,2,2.33,4.66,María Gómez,Norte,Tienda física,Efectivo
16/07/2024,,Jamón de pavo,Embutidos,1,3.22,3.22,,Centro,Tienda física,Tarjeta crédito
2024-11-13,CLI-2692,Papas precocinadas,Congelados,1,2.27,2.27,,Oeste,E-commerce,QR
2024-04-14,CLI-5801,Refresco 2L,Bebidas,3,1.06,3.18,Carlos Ruiz,Norte,E-commerce,
2024-05-15,CLI-2188,Leche entera,Lácteos,3,1.16,3.48,Ana López,Centro,Teléfono,QR
2024-11-19,CLI-5482,Bolsas plásticas,Descartables,9,0.1,0.9,,Este,Teléfono,QR
2023-04-06,CLI-6963,Refresco 2L,Bebidas,3,1.12,3.36,María Gómez,Centro,Teléfono,Tarjeta débito
2023-06-16,,Carne molida,Carnes,2,5.78,11.56,Laura Torres,Este,Teléfono,
2024-10-29,,Bolsas plásticas,Descartables,8,0.1,0.8,,Este,E-commerce,
2024-09-22,CLI-4384,Bolsas plásticas,Descartables,12,0.1,1.2,María Gómez,Este,Teléfono,QR
2023-10-30,CLI-1676,Bolsas plásticas,Descartables,9,0.09,0.81,,Oeste,Tienda física,Transferencia
2024-08-29,,Carne molida,Carnes,1,5.93,5.93,María Gómez,Sur,Tienda física,QR
2024-03-14,CLI-6242,Papas precocinadas,Congelados,2,2.26,4.52,Pedro Díaz,Sur,Tienda física,Tarjeta crédito
2024-05-29,CLI-7498,Jamón de pavo,Embutidos,1,3.38,3.38,Pedro Díaz,Centro,Teléfono,Transferencia
10-15-2024,,Leche entera,Lácteos,1,1.19,1.19,Pedro Díaz,Centro,E-commerce,Tarjeta crédito
05-05-2023,CLI-6884,Leche entera,Lácteos,1,1.27,1.27,Laura Torres,Oeste,E-commerce,Tarjeta débito
02/11/2024,CLI-5978,Papas precocinadas,Congelados,4,2.4,9.6,Laura Torres,Norte,Tienda física,Tarjeta débito
13/11/2023,,Carne molida,Carnes,1,5.78,5.78,Laura Torres,Norte,Tienda física,Efectivo
06/04/2024,CLI-5971,Refresco 2L,Bebidas,4,1.1,4.4,Pedro Díaz,Norte,E-commerce,Tarjeta débito
2024-11-03,,Yogurt natural,Lácteos,6,0.86,5.16,Laura Torres,Centro,E-commerce,Transferencia
2024-03-02,,Jamón de pavo,Embutidos,1,3.26,3.26,,Este,Tienda física,Efectivo
22/04/2024,CLI-1971,Pasta de Tomate,Enlatados,1,0.74,0.74,María Gómez,Centro,Tienda física,Tarjeta débito
2023-05-18,CLI-8274,Bolsas plásticas,Descartables,7,0.1,0.7,Pedro Díaz,Centro,Tienda física,Tarjeta débito
2023-03-12,CLI-7780,Yogurt natural,Lácteos,4,0.86,3.44,Ana López,Norte,Teléfono,Transferencia
01-10-2024,CLI-7272,Pollo entero,Carnes,2,4.53,9.06,,Norte,E-commerce,Transferencia
2024-08-22,CLI-5182,Jamón de pavo,Embutidos,1,3.28,3.28,,Norte,Tienda física,
04/11/2023,,Carne molida,Carnes,2,5.76,11.52,,Norte,Teléfono,Efectivo
22/07/2024,,Pasta de Tomate,Enlatados,1,0.72,0.72,Pedro Díaz,Oeste,Tienda física,Tarjeta crédito
2024-10-17,,Yogurt natural,Lácteos,3,0.91,2.73,,Norte,Teléfono,Efectivo
2024/03/30,CLI-7443,Refresco 2L,Bebidas,3,1.08,3.24,Ana López,Sur,E-commerce,Transferencia
2024-11-04,,Refresco 2L,Bebidas,2,1.1,2.2,,Este,Tienda física,Tarjeta crédito
2023-11-29,CLI-8070,Pasta de Tomate,Enlatados,2,0.75,1.5,Laura Torres,Sur,Teléfono,
2023-05-04,CLI-7933,Bolsas plásticas,Descartables,8,0.1,0.8,Carlos Ruiz,Sur,E-commerce,Transferencia
2024-02-15,CLI-3207,Jamón de pavo,Embutidos,1,3.15,3.15,,Norte,Teléfono,Efectivo
2023-10-28,CLI-6667,Bolsas plásticas,Descartables,5,0.1,0.5,Pedro Díaz,Sur,E-commerce,Tarjeta crédito
2023-09-21,CLI-8942,Pasta de Tomate,Enlatados,3,0.78,2.34,Carlos Ruiz,Este,Teléfono,
2024-03-16,CLI-5165,Bolsas plásticas,Descartables,11,0.1,1.1,Carlos Ruiz,Centro,Tienda física,
2023-03-21,CLI-8627,Carne molida,Carnes,1,5.9,5.9,María Gómez,Centro,Teléfono,
2024-06-13,CLI-6504,Yogurt natural,Lácteos,3,0.92,2.76,,Sur,Teléfono,Tarjeta débito
2024-11-30,CLI-6859,Bolsas plásticas,Descartables,5,0.1,0.5,María Gómez,Sur,Teléfono,
2023-05-25,CLI-2604,Papas precocinadas,Congelados,2,2.35,4.7,Ana López,Norte,Tienda física,Tarjeta débito
2023/06/16,CLI-2727,Leche entera,Lácteos,1,1.23,1.23,Carlos Ruiz,Norte,Teléfono,Tarjeta crédito
05/01/2024,CLI-2950,Pasta de Tomate,Enlatados,1,0.76,0.76,,,Tienda física,Tarjeta crédito
05-04-2024,CLI-7830,Refresco 2L,Bebidas,2,1.1,2.2,,Norte,E-commerce,Efectivo
11-01-2023,,Helado familiar,Lácteos,1,3.95,3.95,Carlos Ruiz,Este,Tienda física,Tarjeta débito
24/09/2024,,Helado familiar,Lácteos,1,3.9,3.9,Pedro Díaz,Este,E-commerce,
02/02/2024,CLI-7612,Bolsas plásticas,Descartables,7,0.1,0.7,Ana López,Este,Tienda física,Tarjeta débito
2024-08-31,CLI-4033,Refresco 2L,Bebidas,1,1.12,1.12,,Centro,E-commerce,QR
07-21-2023,CLI-9459,Refresco 2L,Bebidas,2,1.05,2.1,Laura Torres,Oeste,Teléfono,Transferencia
2023-10-16,,Yogurt natural,Lácteos,6,0.92,5.52,,Sur,E-commerce,Tarjeta crédito
06/01/2024,,Carne molida,Carnes,1,5.74,5.74,María Gómez,Centro,Teléfono,
2024-06-16,CLI-1428,Bolsas plásticas,Descartables,6,0.1,0.6,,Centro,Teléfono,QR
2024-05-31,,Carne molida,Carnes,1,5.79,5.79,,Este,Teléfono,Tarjeta débito
16/08/2024,CLI-9077,Jamón de pavo,Embutidos,1,3.19,3.19,María Gómez,Sur,Teléfono,Tarjeta débito
2023-10-21,,Bolsas plásticas,Descartables,7,0.1,0.7,Ana López,Sur,Teléfono,
2024-05-18,CLI-3451,Pasta de Tomate,Enlatados,4,0.76,3.04,María Gómez,Centro,E-commerce,QR
12/11/2023,CLI-7277,Yogurt natural,Lácteos,6,0.9,5.4,María Gómez,Norte,Teléfono,Tarjeta crédito
2024-04-11,CLI-6370,Papas precocinadas,Congelados,3,2.33,6.99,María Gómez,Centro,E-commerce,Transferencia
2023-05-22,CLI-3441,Papas precocinadas,Congelados,2,2.2,4.4,,Este,Tienda física,QR
2023-05-13,CLI-9914,Pollo entero,Carnes,1,4.45,4.45,,Oeste,E-commerce,
2023-07-19,,Pasta de Tomate,Enlatados,4,0.76,3.04,,Centro,E-commerce,Efectivo
2024-11-15,,Leche entera,Lácteos,2,1.2,2.4,María Gómez,Este,Teléfono,Tarjeta débito
2024-07-03,CLI-9509,Papas precocinadas,Congelados,2,2.3,4.6,,Sur,Teléfono,Efectivo
2024-08-28,CLI-6049,Pasta de Tomate,Enlatados,4,0.77,3.08,María Gómez,Sur,E-commerce,Transferencia
09-09-2024,CLI-9964,Leche entera,Lácteos,4,1.22,4.88,Pedro Díaz,Centro,Teléfono,QR
2023-09-23,CLI-7736,Bolsas plásticas,Descartables,7,0.1,0.7,Carlos Ruiz,Este,Tienda física,Tarjeta crédito
25/06/2023,CLI-5236,Yogurt natural,Lácteos,2,0.91,1.82,,Sur,E-commerce,QR
2024-06-02,CLI-1058,Papas precocinadas,Congelados,1,2.32,2.32,Pedro Díaz,Oeste,E-commerce,QR
07-30-2024,CLI-2306,Yogurt natural,Lácteos,4,0.9,3.6,Carlos Ruiz,Norte,,Transferencia
2024-03-04,CLI-5923,Leche entera,Lácteos,2,1.17,2.34,,Este,Tienda física,Tarjeta crédito
2023/12/23,CLI-2936,Carne molida,Carnes,1,5.72,5.72,Laura Torres,Centro,E-commerce,QR
2023-05-06,,Bolsas plásticas,Descartables,4,0.1,0.4,Carlos Ruiz,Sur,Tienda física,QR
24/08/2024,,Leche entera,Lácteos,2,1.24,2.48,,Norte,Tienda física,Efectivo
03-21-2023,CLI-5631,Bolsas plásticas,Descartables,10,0.1,1.0,Pedro Díaz,Este,E-commerce,
2024-01-16,CLI-4322,Papas precocinadas,Congelados,3,2.36,7.08,Laura Torres,Sur,Teléfono,
03-21-2024,CLI-2954,Pasta de Tomate,Enlatados,4,0.76,3.04,,Centro,E-commerce,Transferencia
20/05/2023,CLI-3856,Papas precocinadas,Congelados,2,2.26,4.52,Carlos Ruiz,Oeste,Teléfono,Tarjeta crédito
2024-08-08,CLI-8086,Pasta de Tomate,Enlatados,3,0.74,2.22,Laura Torres,Norte,Teléfono,Transferencia
11-28-2023,,Jamón de pavo,Embutidos,1,3.26,3.26,Pedro Díaz,Centro,Teléfono,QR
10-14-2023,CLI-8361,Papas precocinadas,Congelados,1,2.33,2.33,María Gómez,Sur,Teléfono,QR
2024-02-18,,Jamón de pavo,Embutidos,3,3.25,9.75,Carlos Ruiz,Oeste,Tienda física,Tarjeta crédito
2023-11-30,CLI-6334,Refresco 2L,Bebidas,1,1.12,1.12,María Gómez,Norte,Teléfono,
2024-10-09,CLI-4872,Carne molida,Carnes,2,5.97,11.94,,Sur,Teléfono,QR
2024-10-21,CLI-8349,Refresco 2L,Bebidas,3,1.06,3.18,Pedro Díaz,Oeste,Tienda física,Tarjeta débito
2024-03-03,,Pollo entero,Carnes,1,4.39,4.39,,,E-commerce,Tarjeta débito
2024-10-29,CLI-1661,Pollo entero,Carnes,3,4.49,13.47,Carlos Ruiz,Sur,Teléfono,Tarjeta crédito
2024-06-16,CLI-1382,Leche entera,Lácteos,3,1.17,3.51,,Este,Teléfono,Tarjeta débito
2024-01-04,CLI-4077,Pollo entero,Carnes,1,4.39,4.39,,Sur,E-commerce,Tarjeta crédito
2024-07-07,CLI-2925,Bolsas plásticas,Descartables,5,0.1,0.5,Laura Torres,Centro,E-commerce,Tarjeta crédito
09-17-2023,,Carne molida,Carnes,1,5.66,5.66,Carlos Ruiz,Oeste,Tienda física,Tarjeta crédito
2024-07-24,CLI-6089,Refresco 2L,Bebidas,2,1.1,2.2,Ana López,Centro,Tienda física,Transferencia
2024-05-09,CLI-7913,Refresco 2L,Bebidas,2,1.08,2.16,Ana López,Este,Tienda física,Tarjeta crédito
2023-05-08,CLI-1345,Leche entera,Lácteos,3,1.2,3.6,Pedro Díaz,Norte,Teléfono,Tarjeta débito
2024-02-29,CLI-5661,Pollo entero,Carnes,1,4.56,4.56,Carlos Ruiz,Centro,Teléfono,Tarjeta débito
2024-05-18,CLI-7042,Pollo entero,Carnes,1,4.57,4.57,María Gómez,Este,Tienda física,Tarjeta débito
2023-12-01,CLI-1271,Leche entera,Lácteos,4,1.17,4.68,Ana López,Centro,Tienda física,Transferencia
2024/11/24,CLI-2980,Jamón de pavo,Embutidos,1,3.22,3.22,María Gómez,Norte,E-commerce,Efectivo
2023/03/13,,Bolsas plásticas,Descartables,8,0.1,0.8,Ana López,Oeste,E-commerce,
