fecha,cliente_id,producto,categoria,cantidad,precio_unitario,total,vendedor,region,canal,metodo_pago
2023-09-30,CLI-5668,Papas precocinadas,Congelados,1,2.3,2.3,,,,Tarjeta crédito
2024-10-31,CLI-6740,Bolsas plásticas,Descartables,19,0.1,1.9,,,Tienda física,Tarjeta débito
14/09/2024,CLI-7971,Leche entera,Lácteos,4,1.2,4.8,Yonny,,Teléfono,Tarjeta débito
2023-11-27,,Papas precocinadas,Congelados,2,2.3,4.6,Lili,,Teléfono,QR
2023-12-12,CLI-3001,Leche entera,Lácteos,1,1.2,1.2,Lili,,Tienda física,QR
2023-12-16,CLI-3222,Pollo entero,Carnes,1,4.5,4.5,,,Teléfono,Tarjeta crédito
2024-11-05,,Yogurt natural,Lácteos,2,0.9,1.8,,,E-commerce,Transferencia
2023-03-17,CLI-4562,Carne molida,Carnes,1,5.8,5.8,,,Tienda física,Tarjeta crédito
15/03/2023,CLI-4729,Jamón de pavo,Embutidos,1,3.2,3.2,Yonny,,Tienda física,
2024-03-30,CLI-7780,Pasta de Tomate,Enlatados,4,0.75,3.0,Yonny,,E-commerce,Efectivo
2024-03-05,CLI-5132,Jamón de pavo,Embutidos,1,3.2,3.2,,,E-commerce,QR
2023-07-31,CLI-2673,Yogurt natural,Lácteos,3,0.9,2.7,Yonny,,E-commerce,Tarjeta crédito
2024-11-16,CLI-3493,Jamón de pavo,Embutidos,3,3.2,9.6,Lili,,,Tarjeta débito
26/11/2024,CLI-1598,Yogurt natural,Lácteos,1,0.9,0.9,,,Teléfono,Efectivo
2024-01-16,CLI-2560,Pollo entero,Carnes,1,4.5,4.5,,,Teléfono,
01/04/2023,CLI-7503,Bolsas plásticas,Descartables,6,0.1,0.6,Yonny,,Tienda física,Transferencia
05-15-2023,,Refresco 2L,Bebidas,4,1.1,4.4,Yonny,,Teléfono,QR
2023-07-17,CLI-5368,Carne molida,Carnes,1,5.8,5.8,,,Tienda física,Transferencia
08-03-2023,,Pasta de Tomate,Enlatados,2,0.75,1.5,,,Teléfono,Transferencia
2023-12-01,CLI-1990,Yogurt natural,Lácteos,3,0.9,2.7,,,Teléfono,QR
2024-06-14,CLI-6805,Pasta de Tomate,Enlatados,3,0.75,2.25,Lili,,Tienda física,QR
2024-06-15,CLI-9590,Refresco 2L,Bebidas,2,1.1,2.2,,,Teléfono,Tarjeta crédito
2024-11-30,,Jamón de pavo,Embutidos,1,3.2,3.2,Yonny,,Tienda física,
2023-04-22,CLI-8140,Pollo entero,Carnes,1,4.5,4.5,,,E-commerce,QR
2023-08-16,CLI-6565,Pollo entero,Carnes,1,4.5,4.5,Lili,,Tienda física,QR
2024-08-31,,Refresco 2L,Bebidas,2,1.1,2.2,Yonny,,Teléfono,Tarjeta débito
2023-04-08,,Carne molida,Carnes,1,5.8,5.8,Yonny,,E-commerce,QR
2024-08-05,,Pollo entero,Carnes,1,4.5,4.5,Lili,,Teléfono,
2024-10-02,,Refresco 2L,Bebidas,1,1.1,1.1,Lili,,E-commerce,
30/11/2024,,Papas precocinadas,Congelados,5,2.3,11.5,,,E-commerce,Tarjeta débito
03/04/2023,,Refresco 2L,Bebidas,2,1.1,2.2,,,Tienda física,Efectivo
2024-10-25,CLI-6680,Helado familiar,Lácteos,2,4.0,8.0,,,E-commerce,Tarjeta débito
2023-12-16,CLI-6433,Yogurt natural,Lácteos,2,0.9,1.8,,,E-commerce,Tarjeta crédito
2024-02-21,CLI-3713,Leche entera,Lácteos,4,1.2,4.8,Yonny,,Tienda física,Efectivo
2024-03-16,CLI-5267,Helado familiar,Lácteos,2,4.0,8.0,Yonny,,Tienda física,Tarjeta crédito
2024-02-15,CLI-2596,Bolsas plásticas,Descartables,9,0.1,0.9,,,Teléfono,QR
2023-04-29,CLI-5252,Jamón de pavo,Embutidos,1,3.2,3.2,Yonny,,E-commerce,Transferencia
2024-09-04,CLI-3438,Jamón de pavo,Embutidos,1,3.2,3.2,Lili,,,Efectivo
29/07/2023,CLI-7013,Refresco 2L,Bebidas,3,1.1,3.3,,,,Efectivo
08-31-2024,CLI-2025,Yogurt natural,Lácteos,3,0.9,2.7,Yonny,,,Efectivo
2024-05-15,,Carne molida,Carnes,1,5.8,5.8,,,Tienda física,Efectivo
2023-12-30,CLI-2190,Pasta de Tomate,Enlatados,8,0.75,6.0,,,E-commerce,Tarjeta crédito
2023/12/04,CLI-7100,Leche entera,Lácteos,1,1.2,1.2,,,Tienda física,Transferencia
11-30-2024,CLI-6296,Pollo entero,Carnes,1,4.5,4.5,Yonny,,Teléfono,Tarjeta débito
2023-09-22,,Leche entera,Lácteos,1,1.2,1.2,,,Teléfono,
04/01/2024,,Refresco 2L,Bebidas,6,1.1,6.6,Yonny,,Teléfono,Tarjeta crédito
2024-06-03,,Leche entera,Lácteos,1,1.2,1.2,,,Teléfono,Efectivo
2024-08-31,CLI-1661,Refresco 2L,Bebidas,1,1.1,1.1,,,Tienda física,
2024-02-01,CLI-3607,Refresco 2L,Bebidas,4,1.1,4.4,Yonny,,Teléfono,
2024-06-15,,Helado familiar,Lácteos,1,4.0,4.0,Lili,,E-commerce,Tarjeta crédito
10-04-2024,CLI-9906,Refresco 2L,Bebidas,3,1.1,3.3,,,,Tarjeta débito
2024-06-20,,Yogurt natural,Lácteos,1,0.9,0.9,,,Teléfono,
04-22-2023,CLI-1223,Leche entera,Lácteos,4,1.2,4.8,Lili,,Teléfono,Efectivo
2023-06-07,CLI-8189,Yogurt natural,Lácteos,3,0.9,2.7,Lili,,Tienda física,Tarjeta débito
2024-11-16,,Pollo entero,Carnes,1,4.5,4.5,Lili,,Teléfono,Tarjeta crédito
2024-02-22,,Bolsas plásticas,Descartables,7,0.1,0.7,,,E-commerce,Efectivo
15/01/2024,CLI-8224,Refresco 2L,Bebidas,4,1.1,4.4,Lili,,,Tarjeta débito
15/08/2024,CLI-9624,Refresco 2L,Bebidas,1,1.1,1.1,Yonny,,Teléfono,
2023-08-29,,Helado familiar,Lácteos,3,4.0,12.0,,,Teléfono,QR
16/09/2023,CLI-2527,Bolsas plásticas,Descartables,13,0.1,1.3,Lili,,E-commerce,
2024-03-16,CLI-9896,Jamón de pavo,Embutidos,1,3.2,3.2,,,Teléfono,Tarjeta crédito
08-02-2023,CLI-2903,Pasta de Tomate,Enlatados,4,0.75,3.0,,,E-commerce,Tarjeta débito
2024-08-27,CLI-2756,Carne molida,Carnes,1,5.8,5.8,Lili,,Teléfono,Tarjeta débito
23/01/2024,,Pasta de Tomate,Enlatados,3,0.75,2.25,,,,Efectivo
2023-04-22,CLI-6005,Papas precocinadas,Congelados,3,2.3,6.9,Yonny,,,Tarjeta crédito
2023-09-30,CLI-9768,Carne molida,Carnes,2,5.8,11.6,Lili,,Teléfono,QR
03-29-2023,CLI-6564,Bolsas plásticas,Descartables,7,0.1,0.7,,,E-commerce,Transferencia
16/01/2024,,Pasta de Tomate,Enlatados,4,0.75,3.0,Yonny,,,Tarjeta débito
2023-09-07,CLI-1331,Leche entera,Lácteos,3,1.2,3.6,,,Teléfono,Tarjeta débito
2023-12-16,CLI-2801,Bolsas plásticas,Descartables,5,0.1,0.5,Lili,,Teléfono,Tarjeta crédito
22/06/2024,,Carne molida,Carnes,2,5.8,11.6,Lili,,,Tarjeta débito
2024-06-15,CLI-5753,Bolsas plásticas,Descartables,11,0.1,1.1,,,E-commerce,Efectivo
2023-11-29,CLI-5226,Yogurt natural,Lácteos,2,0.9,1.8,Yonny,,Tienda física,Tarjeta débito
12/12/2023,CLI-6774,Leche entera,Lácteos,3,1.2,3.6,Lili,,E-commerce,
2023-05-30,CLI-4460,Bolsas plásticas,Descartables,10,0.1,1.0,Lili,,E-commerce,
2024-06-01,CLI-5425,Bolsas plásticas,Descartables,7,0.1,0.7,Lili,,Teléfono,Efectivo
2023/11/14,CLI-6383,Pasta de Tomate,Enlatados,3,0.75,2.25,,,Tienda física,
2024-01-09,CLI-8240,Leche entera,Lácteos,2,1.2,2.4,Yonny,,Teléfono,Transferencia
2024-09-14,CLI-8582,Leche entera,Lácteos,2,1.2,2.4,,,Teléfono,
2024-04-10,CLI-9804,Refresco 2L,Bebidas,1,1.1,1.1,Yonny,,Teléfono,
08-28-2023,CLI-1756,Pasta de Tomate,Enlatados,6,0.75,4.5,,,Teléfono,Tarjeta débito
2023-09-02,,Papas precocinadas,Congelados,1,2.3,2.3,Lili,,Teléfono,Tarjeta débito
2023-12-16,,Pasta de Tomate,Enlatados,2,0.75,1.5,Yonny,,E-commerce,
2023-04-13,,Yogurt natural,Lácteos,3,0.9,2.7,Lili,,Tienda física,
27/07/2023,,Pollo entero,Carnes,1,4.5,4.5,Lili,,,Tarjeta crédito
2024-04-20,CLI-2272,Bolsas plásticas,Descartables,7,0.1,0.7,,,Tienda física,Efectivo
2024-05-21,CLI-4995,Refresco 2L,Bebidas,1,1.1,1.1,,,Tienda física,Tarjeta crédito
2024-05-09,CLI-2448,Leche entera,Lácteos,4,1.2,4.8,,,Tienda física,Tarjeta débito
02/12/2023,,Pasta de Tomate,Enlatados,4,0.75,3.0,,,E-commerce,
2024/10/18,CLI-9178,Bolsas plásticas,Descartables,7,0.1,0.7,,,E-commerce,QR
2023-12-13,,Refresco 2L,Bebidas,3,1.1,3.3,Lili,,Tienda física,Tarjeta débito
2023-12-08,CLI-4755,Refresco 2L,Bebidas,7,1.1,7.7,,,Teléfono,Transferencia
2023-10-21,,Bolsas plásticas,Descartables,11,0.1,1.1,Lili,,Teléfono,Transferencia
2023-07-31,CLI-6997,Pollo entero,Carnes,2,4.5,9.0,Lili,,Tienda física,Tarjeta crédito
2024-11-29,CLI-7194,Helado familiar,Lácteos,1,4.0,4.0,Yonny,,Teléfono,Tarjeta crédito
2024-09-11,CLI-6372,Jamón de pavo,Embutidos,1,3.2,3.2,Yonny,,E-commerce,Transferencia
08-14-2023,CLI-7991,Helado familiar,Lácteos,1,4.0,4.0,Lili,,E-commerce,Tarjeta débito
09-09-2023,CLI-9247,Bolsas plásticas,Descartables,5,0.1,0.5,Lili,,Tienda física,
2024-06-06,CLI-1727,Helado familiar,Lácteos,1,4.0,4.0,Yonny,,Teléfono,QR
2024-01-15,CLI-8634,Bolsas plásticas,Descartables,8,0.1,0.8,Yonny,,E-commerce,Efectivo
03-30-2024,CLI-7189,Carne molida,Carnes,1,5.8,5.8,,,E-commerce,Tarjeta crédito
2023-08-07,CLI-2967,Leche entera,Lácteos,1,1.2,1.2,Lili,,Teléfono,QR
2023-05-30,CLI-7214,Papas precocinadas,Congelados,2,2.3,4.6,Lili,,Teléfono,Tarjeta débito
2024-07-30,CLI-4014,Refresco 2L,Bebidas,4,1.1,4.4,,,Tienda física,Tarjeta crédito
31/10/2023,,Refresco 2L,Bebidas,5,1.1,5.5,,,Tienda física,Tarjeta débito
2024-06-06,CLI-1534,Carne molida,Carnes,1,5.8,5.8,Lili,,E-commerce,Efectivo
2023/03/14,CLI-1291,Pasta de Tomate,Enlatados,4,0.75,3.0,,,Tienda física,Transferencia
09-07-2023,,Pollo entero,Carnes,1,4.5,4.5,Yonny,,Tienda física,
2024-05-29,CLI-3823,Helado familiar,Lácteos,1,4.0,4.0,,,E-commerce,Efectivo
2023-11-15,CLI-5240,Pasta de Tomate,Enlatados,2,0.75,1.5,,,Teléfono,QR
02/12/2023,CLI-7694,Pasta de Tomate,Enlatados,5,0.75,3.75,Yonny,,Tienda física,Efectivo
06-30-2023,CLI-3970,Pollo entero,Carnes,1,4.5,4.5,,,Teléfono,Tarjeta débito
2023-09-14,,Yogurt natural,Lácteos,8,0.9,7.2,,,E-commerce,QR
2024-08-17,CLI-9939,Leche entera,Lácteos,3,1.2,3.6,,,E-commerce,Transferencia
2023-04-28,,Pasta de Tomate,Enlatados,1,0.75,0.75,Yonny,,Tienda física,
2024/09/17,CLI-5703,Bolsas plásticas,Descartables,6,0.1,0.6,Yonny,,E-commerce,Tarjeta débito
2024-10-21,CLI-5223,Bolsas plásticas,Descartables,8,0.1,0.8,Yonny,,Teléfono,Tarjeta débito
2023-06-29,CLI-1488,Yogurt natural,Lácteos,3,0.9,2.7,,,Teléfono,Efectivo
30/03/2024,CLI-3574,Bolsas plásticas,Descartables,13,0.1,1.3,,,Tienda física,Tarjeta débito
2024-01-27,,Bolsas plásticas,Descartables,2,0.1,0.2,Lili,,Tienda física,QR
16/10/2023,,Carne molida,Carnes,1,5.8,5.8,Yonny,,Tienda física,Efectivo
2023-09-30,CLI-3478,Carne molida,Carnes,3,5.8,17.4,Lili,,E-commerce,Tarjeta débito
2023-06-12,CLI-6809,Leche entera,Lácteos,2,1.2,2.4,,,E-commerce,QR
20/04/2023,CLI-8628,Jamón de pavo,Embutidos,2,3.2,6.4,Lili,,,
15/07/2023,CLI-6257,Yogurt natural,Lácteos,1,0.9,0.9,,,Teléfono,Efectivo
04/05/2024,,Refresco 2L,Bebidas,1,1.1,1.1,Lili,,E-commerce,Efectivo
10-02-2024,CLI-8799,Pollo entero,Carnes,1,4.5,4.5,Lili,,E-commerce,Transferencia
04/11/2023,CLI-6346,Carne molida,Carnes,1,5.8,5.8,Yonny,,E-commerce,Efectivo
2024-05-07,,Pollo entero,Carnes,1,4.5,4.5,,,E-commerce,Efectivo
14/10/2023,CLI-3573,Pollo entero,Carnes,1,4.5,4.5,,,Teléfono,QR
2024/04/16,CLI-7195,Pollo entero,Carnes,1,4.5,4.5,,,Tienda física,Efectivo
2023-11-06,CLI-4428,Yogurt natural,Lácteos,2,0.9,1.8,Yonny,,E-commerce,QR
2023-12-15,,Pollo entero,Carnes,1,4.5,4.5,,,Tienda física,QR
2023-06-17,CLI-4402,Carne molida,Carnes,2,5.8,11.6,Yonny,,E-commerce,Tarjeta débito
2024-05-01,CLI-7552,Bolsas plásticas,Descartables,12,0.1,1.2,,,Tienda física,
2024-09-12,CLI-3004,Jamón de pavo,Embutidos,1,3.2,3.2,Lili,,Teléfono,
2024-06-15,,Bolsas plásticas,Descartables,11,0.1,1.1,Yonny,,Tienda física,Tarjeta crédito
2023-06-03,,Leche entera,Lácteos,1,1.2,1.2,Lili,,Tienda física,Transferencia
13/04/2024,CLI-9943,Pasta de Tomate,Enlatados,4,0.75,3.0,,,Teléfono,Efectivo
2023-09-21,CLI-5172,Refresco 2L,Bebidas,4,1.1,4.4,Lili,,E-commerce,QR
04/10/2023,CLI-8226,Leche entera,Lácteos,1,1.2,1.2,Lili,,Teléfono,QR
2023-11-22,,Pasta de Tomate,Enlatados,3,0.75,2.25,,,Tienda física,Efectivo
2024-08-05,,Leche entera,Lácteos,4,1.2,4.8,Lili,,Teléfono,QR
2023-11-25,CLI-8353,Refresco 2L,Bebidas,1,1.1,1.1,,,,Tarjeta crédito
2023-09-30,,Helado familiar,Lácteos,1,4.0,4.0,,,,Efectivo
2024-05-15,CLI-3872,Papas precocinadas,Congelados,1,2.3,2.3,,,E-commerce,Tarjeta débito
14/02/2024,CLI-6320,Yogurt natural,Lácteos,1,0.9,0.9,,,Tienda física,Tarjeta débito
2023-04-05,CLI-3858,Leche entera,Lácteos,1,1.2,1.2,,,Teléfono,QR
2024-10-15,CLI-3045,Pasta de Tomate,Enlatados,3,0.75,2.25,Yonny,,Tienda física,Transferencia
2023-04-04,,Leche entera,Lácteos,3,1.2,3.6,,,E-commerce,
2023-08-02,,Refresco 2L,Bebidas,8,1.1,8.8,Yonny,,Teléfono,QR
2023-11-24,CLI-6315,Carne molida,Carnes,1,5.8,5.8,Lili,,Tienda física,Transferencia
